"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Healthcare Improvement and Worker Training","USA","HPV initiation","Gilkey et al.",2022,3.8
"Healthcare Improvement and Worker Training","USA","Influenza (19-64 yrs)","Heaton et al.",2022,0
"Healthcare Improvement and Worker Training","USA","Influenza (\$\geq\$ 65 yrs)","Heaton et al.",2022,0
"Incentives","USA","MMR; Poliovirus; Diphtheria; Tetanus Toxoids and Pertussis; Haemophilus influenzae type b; Hepatitis B.","Kerpelman et al.",2000,11.8
"Incentives","USA","Any vaccination","Fairbrother et al.",2001,5.9
"Incentives","USA","Any vaccination","Fairbrother et al.",2001,7.4
"Incentives","USA","Influenza","Doratotaj et al.",2008,0
"Incentives","USA","Influenza","Doratotaj et al.",2008,0
"Incentives","India","Full immunisation (children)","Banerjee et al.",2010,33
"Incentives","Australia","Hepatitis B","Topp et al.",2013,21
"Incentives","UK","Hepatitis B","Weaver et al.",2014,36
"Incentives","UK","Hepatitis B","Weaver et al.",2014,40
"Incentives","UK","HPV initiation","Mantzari et al.",2015,8.8
"Incentives","USA","All necessary vaccines","Fu et al.",2016,0
"Incentives","Nigeria","Tetanus toxoid","Sato et al.",2020,20.9
