"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Communications","USA","Immunization series completion by 24 months","Dini et al.",2000,8.3
"Communications","USA","Influenza; Pneumococcal","Krieger et al.",2000,21.1
"Communications","USA","Childhood immunizations","Vivier et al.",2000,12.5
"Communications","USA","Childhood immunizations","Vivier et al.",2000,21.5
"Communications","USA","Childhood immunizations","Vivier et al.",2000,14.8
"Communications","UK","Influenza","Arthur et al.",2002,6.4
"Communications","USA","Influenza","Ahmed et al.",2004,4
"Communications","Spain","Tetanus-diphtheria","Ibáñez-Jiménez et al.",2007,18.3
"Communications","USA","Pneumococcal (elderly)","Winston et al.",2007,9
"Communications","USA","Pneumococcal (chronic)","Winston et al.",2007,10
"Communications","USA","Influenza","Doratotaj et al.",2008,0
"Communications","Israel","Influenza","Abramson et al.",2010,26.3
"Communications","USA","Influenza","Chapman et al.",2010,12
"Communications","USA","Influenza","Minor et al.",2010,13
"Communications","USA","Influenza","Minor et al.",2010,23
