"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Communications","USA","Childhood immunizations (7-month olds)","Dombkowski et al.",2014,0
"Communications","USA","Childhood immunizations (12-month olds)","Dombkowski et al.",2014,0
"Communications","USA","HPV completion","Patel et al.",2014,0
"Communications","Zimbabwe","OPV1, Penta1 and PCV1","Bangure et al.",2015,20
"Communications","USA","HPV completion","Chao et al.",2015,9.8
"Communications","Beirut","Pneumococcal","Ghadieh et al.",2015,15.4
"Communications","Beirut","Pneumococcal","Ghadieh et al.",2015,4.6
"Communications","Beirut","Pneumococcal","Ghadieh et al.",2015,6.1
"Communications","USA","Influenza","Hofstetter et al.",2015,3.7
"Communications","USA","Influenza","Hofstetter et al.",2015,0
"Communications","USA","Any vaccination","O'Leary et al.",2015,5.2
"Communications","USA","All necessary vaccines","O'Leary et al.",2015,3.1
"Communications","USA","Influenza","Stockwell et al.",2015,3.7
"Communications","China","Full immunisation (5 vaccines)","Chen et al.",2016,0
"Communications","UK","Influenza","Herrett et al.",2016,0
