"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Communications","USA","Influenza","Nehme et al.",2019,2.5
"Communications","USA","TDAP","O'Leary et al.",2019,0
"Communications","USA","Influenza","O'Leary et al.",2019,21
"Communications","USA","Influenza","O'Leary et al.",2019,19
"Communications","USA","TDAP","O'Leary et al.",2019,0
"Communications","USA","Pneumococcal vaccination; herpes zoster","Stolpe et al.",2019,0
"Communications","Australia","HPV","Tull et al.",2019,3.29
"Communications","Australia","HPV","Tull et al.",2019,2.64
"Communications","USA","Influenza; Tetanus; Shingles; Pneumonia","Chen et al.",2020,0.15
"Communications","USA","Influenza; Tetanus; Shingles; Pneumonia","Chen et al.",2020,0.27
"Communications","USA","Influenza; Tetanus; Shingles; Pneumonia","Chen et al.",2020,0.06
"Communications","Nigeria","Childhood immunizations","Kawakatsu et al.",2020,5
"Communications","USA","Influenza","Lee et al.",2020,1.2
"Communications","Hong Kong","Influenza","Liao et al.",2020,0
"Communications","USA","HPV initiation (Colorado)","Szilagyi et al.",2020,2.3
