"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Education","India","Tetanus","Pandey et al.",2007,24
"Education","Pakistan","DPT3 Full Course","Andersson et al.",2009,28.5
"Education","Pakistan","Measles","Andersson et al.",2009,20
"Education","Japan","Influenza","Usami et al.",2009,16.7
"Education","Pakistan","DPT/Hepatitis B","Owais et al.",2011,20.4
"Education","Pakistan","DPT3","Usman et al.",2011,28
"Education","Pakistan","DPT3","Usman et al.",2011,22
"Education","Pakistan","DPT3","Usman et al.",2011,27
"Education","USA","HPV","Hopfer",2012,6
"Education","USA","HPV","Hopfer",2012,10
"Education","USA","HPV","Hopfer",2012,-5.8
"Education","Spain","Influenza","Roca et al.",2012,5.4
"Education","USA","Influenza","Frew et al.",2014,0
"Education","USA","Influenza","Frew et al.",2014,0
"Education","USA","HPV","Bennett et al.",2015,0
