"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Communications","USA","HPV","Bastani et al.",2022,0
"Communications","USA","COVID-19","Jacobson et al.",2022,0
"Communications","USA","COVID-19","Jacobson et al.",2022,0
"Communications","USA","COVID-19","Mehta et al.",2022,0
"Communications","USA","COVID-19","Mehta et al.",2022,0
"Communications","USA","Influenza","Milkman et al.",2022,2
"Communications","Australia","Childhood immunizations (7 months)","O'Grady et al.",2022,15.9
"Communications","USA","COVID-19","Patel et al.",2022,4.9
"Communications","USA","COVID-19","Rabb et al.",2022,0
"Communications","Finland","Influenza","Sääksvuori et al.",2022,6.4
"Communications","Italy","COVID-19","Tentori et al.",2022,3.2
"Communications","USA","Herpes zoster","Gatwood et al.",2023,3
"Community Actions","Pakistan","Oral Polio Vaccine","Habib et al.",2017,7
"Community Actions","Pakistan","Oral Polio Vaccine","Habib et al.",2017,9
"Community Actions","India","Children fully immunised against six VPDs","Sengupta et al.",2017,17.3
