"Intervention Type","country","vaccine","author1","publicationyear","effectsize"
"Education","USA","Pertussis","Whitaker et al.",2018,0
"Education","USA","Tetanus","Whitaker et al.",2018,0
"Education","USA","Zoster","Whitaker et al.",2018,4.2
"Education","USA","Influenza","Whitaker et al.",2018,0
"Education","USA","Pneumococcal","Whitaker et al.",2018,0
"Education","Hong Kong","Influenza","Yeung et al.",2018,26
"Education","USA","HPV","Dixon et al.",2019,14.7
"Education","Singapore","Pneumococcal","Ho et al.",2019,2
"Education","Singapore","Influenza","Ho et al.",2019,0.9
"Education","USA","TDAP; MenACWY; HPV","Underwood et al.",2019,10.6
"Education","USA","TDAP; MenACWY; HPV","Underwood et al.",2019,6.8
"Education","USA","HPV","Kim et al.",2020,8.5
"Education","India","Full immunisation (children)","Pramanik et al.",2020,0
"Education","USA","Childhood immunizations","Kappes et al.",2021,0
"Education","Nigeria","Measles","Oyo-Ita et al.",2021,17
