"","pl_names","pl_effects","pl_pval","sample","support_indices","support_category"
"POOLED_Xslope3XSMS2ORXslope3XSMS3","(No Seeds, High Slopes, SMS (All))",2.67889693057851,0.145387921680484,0,"1 16 49 64",0
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS3","(Trusted Seeds, High Slope, SMS (All))",3.23700978994017,0.00917886681929709,0,"1 16 49 64",0
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS3","(Info Hubs, Slopes (All), SMS (All))",4.02288352361475,0.00052460627877544,0,"1 16 49 64",0
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS3","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.482919884589883,0.515422565297637,0,"1 16 49 64",0
"POOLED_Xslope3XSMS2ORXslope3XSMS31","(No Seeds, High Slopes, SMS (All))",2.82085834164908,0.12159066770929,1,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS31","(Trusted Seeds, High Slope, SMS (All))",3.05582217041429,0.0333754037830398,1,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS31","(Info Hubs, Slopes (All), SMS (All))",3.62947164038001,0.00260311064841108,1,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS31","(Trusted Info Hubs, Slopes (All), SMS (All))",0.0462614047185811,0.960554676511016,1,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS32","(No Seeds, High Slopes, SMS (All))",1.72950742487495,0.254283880300558,2,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS32","(Trusted Seeds, High Slope, SMS (All))",3.79152921814361,0.014905465691666,2,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS32","(Info Hubs, Slopes (All), SMS (All))",4.12573894140148,0.00106235433922112,2,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS32","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.556632327077031,0.525146230463597,2,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS33","(No Seeds, High Slopes, SMS (All))",2.45959867257485,0.215703430003742,3,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS33","(Trusted Seeds, High Slope, SMS (All))",2.1882582883474,0.0482002227169773,3,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS33","(Info Hubs, Slopes (All), SMS (All))",4.07367985143991,0.000891071819462081,3,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS33","(Trusted Info Hubs, Slopes (All), SMS (All))",0.251356039516834,0.771510472025491,3,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS34","(No Seeds, High Slopes, SMS (All))",2.67340154506838,0.192044116137343,4,"1 16 49 64",1
