"Row","asset_ent_index","ent_asset_value","ent_asset_dummy","ent_asset_count","inventory_value","hh_asset_value"
"Mobile Account — Estimate",0.0971077619212915,13.8204340684864,0.183035738919185,-0.0966509389537774,-0.424472947311504,13.4970820123875
"Mobile Account — Robust SE",0.0733900103971439,12.4778052214525,0.078013453370757,0.899639312485233,19.9911924609432,26.5925349005203
"Mobile Account — Robust p-value",0.185914236401656,0.26815620577034,0.019054681127101,0.914455371593122,0.983061710219207,0.611818483641625
"Mobile Disburse — Estimate",0.383009450368734,36.8685518041541,0.623939420950283,0.954304216682935,32.3380166355375,31.3398704806287
"Mobile Disburse — Robust SE",0.0738609009678876,12.0818262494805,0.0757306633353944,0.813760887759051,19.6169011392742,27.9778695148384
"Mobile Disburse — Robust p-value",0.000000234959113938647,0.00230392611375015,0.000000000000000296070758130531,0.241040893814443,0.0993970270191348,0.262764449186263
"Observations",2642,2610,2610,2610,2638,2642
"R-squared",0.317330384048184,0.415398451903404,0.352785241410688,0.338186167048678,0.468395351351284,0.254392232925592
"Control mean",-0.10876141370001,178.801396812202,1.85730724971231,9.7180667433832,501.710274621212,636.424322456628
"Control mean baseline",0.0540569449710583,160.399765671312,2.05436013590034,9.42808607021518,496.060090702948,458.683323666841
"p-value MA=MD",0.000126915444517395,0.0295254084455476,0.0000000191860748919805,0.220861743913405,0.0829450048562605,0.527344705101089
