"Row","earn_business","much_saved","capital"
"Mobile Account — Estimate",5.17165416389176,-5.20462936946814,9.64518390521922
"Mobile Account — Robust SE",5.29334636157851,14.3875843113335,40.031866572684
"Mobile Account — Robust p-value",0.32867198773178,0.717577890249671,0.809626004018908
"Mobile Disburse — Estimate",9.5942140932105,6.26040723102336,41.3793372390286
"Mobile Disburse — Robust SE",5.22146858105696,16.0710925736556,40.2282039010497
"Mobile Disburse — Robust p-value",0.0662782076947705,0.696911223118624,0.303774230377597
"group 1*MA — Estimate",2.4258540041656,10.9125668846893,11.4541766951471
"group 1*MA — Robust SE",9.41252479961437,26.0265798935955,65.1104719885718
"group 1*MA — Robust p-value",0.796642469900163,0.675048652371723,0.860373758815
"group 2*MA — Estimate",8.87269707450913,-28.1985492010373,82.439124864797
"group 2*MA — Robust SE",14.586925291544,42.4684342136839,111.422398038022
"group 2*MA — Robust p-value",0.543075701223593,0.506767640527621,0.459452581456165
"group 3*MA — Estimate",7.23806085513288,31.4499777496771,-138.196508175874
"group 3*MA — Robust SE",19.9064518114962,64.7089603809198,154.774512571355
"group 3*MA — Robust p-value",0.71618902558751,0.627000221886522,0.372014597213097
"group 1*MD — Estimate",-1.34036673530481,27.853684051008,-54.2707903590147
"group 1*MD — Robust SE",9.0237887336985,26.9671604210407,61.0862775854298
"group 1*MD — Robust p-value",0.881932649478476,0.301776875035662,0.37440790846999
"group 2*MD — Estimate",55.1050601414811,-75.6009404375306,244.829360840896
"group 2*MD — Robust SE",15.6672218481969,43.352886446783,112.650787098971
"group 2*MD — Robust p-value",0.000444974653143368,0.0813255860774556,0.0298610251843894
"group 3*MD — Estimate",23.8303083001662,-43.0170869647456,21.6583484491301
"group 3*MD — Robust SE",17.1483138933731,55.2385723096581,159.594455060433
"group 3*MD — Robust p-value",0.164773773204523,0.436210648614087,0.892064085215979
"group 1 — Estimate",4.47810075425667,-12.7125050490482,-21.3565144635978
"group 1 — Robust SE",6.62504640093417,18.9610578788439,47.0692983692255
"group 1 — Robust p-value",0.499153316404857,0.50263955165002,0.650071793034703
"group 2 — Estimate",38.7553329475342,114.310744637244,367.495119381985
"group 2 — Robust SE",9.80172883820518,33.9103227497487,79.4855075782723
"group 2 — Robust p-value",0.0000793200027615925,0.000762045155219843,0.00000399449098964283
"group 3 — Estimate",11.1779774314094,45.5443061247146,474.902955310859
"group 3 — Robust SE",11.0567783512169,44.9310618135538,118.82108733198
"group 3 — Robust p-value",0.312146579588686,0.310862502149611,0.0000663323316723774
"Observations",2629,2629,2629
"R-squared",0.307556889801856,0.180086509944637,0.269404920792955
"Mean group 1",112.35413985414,99.4229933504934,527.203512405337
"Mean group 2",189.726162332545,270.518124507486,1125.15257304442
"Mean group 3",138.708847736626,136.856995884774,1068.12300335919
"Mean group 4",92.9130718954248,110.793462745098,530.63441947937
"p-value MA=MD",0.425784110128051,0.433395863014937,0.404332340741815
"p-value group 1*MA=group 2*MA",0.678121926564605,0.385669604155781,0.539073688024167
"p-value group 1*MA=group 3*MA",0.815010227466943,0.754155046891228,0.345136498721632
"p-value group 2*MA=group 3*MA",0.944418649547233,0.411461993473093,0.223171136863532
"p-value group 1*MD=group 2*MD",0.000533624287602743,0.0223647357923196,0.00856859630990772
"p-value group 1*MD=group 3*MD",0.159866919682297,0.214788575544389,0.636401860858721
"p-value group 2*MD=group 3*MD",0.154570593545422,0.6147257779983,0.230542835414808
