"Row","av_balance7","av_balance15","av_balance30","av_balance45","av_balance60","av_balance90","av_balance180","final_balance"
"Mobile Disburse — Estimate",113.804815494189,53.9351130953029,13.4532539637851,2.29300920932279,0.981550905225761,-0.0574542304329078,-0.274052869877949,-0.293389589534391
"Mobile Disburse — Robust SE",12.356002032714,9.67498813375721,4.20294830113437,1.53666061874125,1.12473398878612,0.77042065115949,0.765209124421311,0.136706186112001
"Mobile Disburse — Robust p-value",0.000000000000000000138081878995452,0.000000030520237744308,0.00140539581021742,0.135905383052155,0.383001061949883,0.940565017663394,0.720299851087423,0.0320598354118331
"MD*family pressure — Estimate",9.43007602185179,15.219573474947,15.2303764169845,9.89541270577564,7.4906057222142,7.93659511493639,7.63790131124541,0.731461614530695
"MD*family pressure — Robust SE",16.8415074701084,13.5283840248116,6.85503810571146,3.50803751963734,2.81034353100951,2.66367580008446,2.64443851311859,0.683158411777528
"MD*family pressure — Robust p-value",0.575629878488756,0.260806611660826,0.0264817895676832,0.00486852877179808,0.0077922240337526,0.00294388888627827,0.00394206745746516,0.284514242553877
"Family pressure — Estimate",-2.23697398752751,-3.67942229715631,-2.25549328566113,-1.89927862657758,-1.49744980277427,-1.4485994076311,-1.4574921522339,-0.330473337810081
"Family pressure — Robust SE",5.31755991534779,4.31845004792233,2.06358956254921,1.15611126995941,0.854214563187859,0.848700643576186,0.862041928563125,0.326045221148781
"Family pressure — Robust p-value",0.674065451096565,0.394368640680718,0.274612431781121,0.100679448756385,0.0798516353643994,0.088106397143562,0.0911419917464611,0.31098421740431
"Observations",1630,1630,1630,1630,1630,1630,1630,1630
"R-squared",0.388133032707216,0.319647502492335,0.262503398424333,0.289832852574373,0.261721083086258,0.266194703930489,0.263892704838633,0.25282479138839
"Mobile account mean",0.766617274878206,0.484622342510009,0.229747888770315,0.20458274642306,0.171952985980177,0.225805203542514,0.305767729344167,0.193996412907877
