"Row","earn_business...2","much_saved...3","capital...4","earn_business...5","much_saved...6","capital...7","earn_business...8","much_saved...9","capital...10","earn_business...11","much_saved...12","capital...13","earn_business...14","much_saved...15","capital...16","earn_business...17","much_saved...18","capital...19","earn_business...20","much_saved...21","capital...22","earn_business","much_saved","capital"
"Mobile Account — Estimate",2.88053505036172,0.926165711359843,13.4767678828525,,,,,,,,,,,,,,,,,,,,,
"Mobile Account — Robust SE",3.61486183778153,9.54082941983002,24.180388206131,,,,,,,,,,,,,,,,,,,,,
"Mobile Account — Robust p-value",0.425618582525207,0.922676498106321,0.577349632602741,,,,,,,,,,,,,,,,,,,,,
"Mobile Account — Permutation p-value",,,,0.176823176823177,0.785214785214785,0.783216783216783,,,,,,,,,,,,,,,,,,
"Mobile Disburse — Estimate",17.6142476976516,8.45574242926265,69.2071674949056,,,,,,,,,,,,,,,,,,,,,
"Mobile Disburse — Robust SE",3.53858666837972,10.227538084003,23.868133871576,,,,,,,,,,,,,,,,,,,,,
"Mobile Disburse — Robust p-value",0.000000692955088586345,0.408461121662046,0.00377371786966892,,,,,,,,,,,,,,,,,,,,,
"Mobile Disburse — Permutation p-value",,,,,,,0.000999000999000999,0.85014985014985,0.013986013986014,,,,,,,,,,,,,,,
"Observations",,,,,,,,,,2639,2639,2639,,,,,,,,,,,,
"R-squared",,,,,,,,,,,,,0.438463994169276,0.346263184360679,0.512082249107043,,,,,,,,,
"Control mean",,,,,,,,,,,,,,,,109.812184343434,155.329797979798,678.276653418758,,,,,,
"Control mean baseline",,,,,,,,,,,,,,,,,,,116.618220712218,134.323014030452,655.89806678638,,,
"p-value MA=MD",,,,,,,,,,,,,,,,,,,,,,0.0000412192422997173,0.432110087917593,0.0132807365347115
