"Row","saving","net_saving","use_saving_5","saving_amount_5","saving_goal_6"
"Mobile Account — Estimate",-6.43819425306486,-2.35472326835229,0.0373119213511083,1.63728156158338,0.0415027537406653
"Mobile Account — Robust SE",12.3167054292981,3.49209802635227,0.0190884994262332,0.856443992219988,0.0212243065073966
"Mobile Account — Robust p-value",0.601221105231321,0.50019074733452,0.0507661631155347,0.0560410722446608,0.0506574802387444
"Mobile Disburse — Estimate",5.93354227771415,-2.35642152183952,0.0863521163544216,3.35475294800783,0.00686045835253498
"Mobile Disburse — Robust SE",13.1080056320385,2.32945659931667,0.0199031452085849,0.881831994257604,0.0210935843383005
"Mobile Disburse — Robust p-value",0.650833977989405,0.311851590211994,0.0000150851726266104,0.000146061031796479,0.745030878404996
"Observations",2642,2642,2335,2642,2642
"R-squared",0.155753684635701,0.116148406112615,0.213085376310974,0.182256819316159,0.187123046550373
"Control mean",161.43163980444,20.2538695089004,0.117780294450736,3.70454259468982,0.243488108720272
"p-value MA=MD",0.310932852715149,0.999613166876728,0.0187342252383741,0.0865093591751317,0.108514326000345
"Control mean baseline",,,0.319480519480519,,0.226500566251416
